,Company,Events,Average,Penetration,ClosePenetration
33,AWK,210,2.447619047619048,0.014123787352033476,0.002015770173509824
34,AMP,234,2.3632478632478633,0.01746923010181928,0.0029388300875281687
35,ABC,210,2.4380952380952383,0.016891525353347214,0.0017494039664072585
36,AME,228,2.3508771929824563,0.011050210676908616,1.7372687934939492e-06
37,AMGN,211,2.255924170616114,0.012325062892451498,1.431149678297054e-05
38,APH,229,2.3842794759825328,0.012273381820469683,0.0011727383935235495
39,ADI,212,2.349056603773585,0.015375204903194944,0.0008109343189401189
40,ANSS,209,2.6315789473684212,0.018080985278686113,0.0042741919888294325
41,ANTM,210,2.4952380952380953,0.015272354026987836,0.001503241393396933
42,AON,219,2.493150684931507,0.010962810223435161,0.00012373710761726686
43,AOS,214,2.289719626168224,0.014265105825933511,0.00042979985458689406
44,APA,202,2.1633663366336635,0.028619968623976914,0.0006290280871707075
45,AAPL,204,2.764705882352941,0.0155977584674015,0.003314793673322592
46,AMAT,217,2.3870967741935485,0.019599133488321572,0.0006308906093587728
47,APTV,228,2.267543859649123,0.015956070112758056,-0.0014741747651880505
48,ADM,210,2.323809523809524,0.013174716502766458,0.0017533984047034773
49,ANET,201,2.671641791044776,0.021644217743674844,0.002194359010922025
50,AJG,230,2.4130434782608696,0.010585307433534424,0.0002727999656511138
51,AIZ,217,2.414746543778802,0.013790608804010772,0.0009702226592053965
52,T,219,2.319634703196347,0.009435745262312478,-0.0015873004334747533
53,ATO,206,2.3300970873786406,0.009785026606198056,-0.0010929973881413126
54,ADSK,214,2.47196261682243,0.018360249733495353,-0.00024128259392028058
55,ADP,224,2.325892857142857,0.008806361531099375,-0.00185588455798527
56,AZO,197,2.416243654822335,0.015649740482677584,0.0015580430205741106
57,AVB,223,2.2511210762331837,0.010713919992179547,-0.0009285750480195347
58,AVY,210,2.466666666666667,0.012364460718114041,0.0006956277252230404
59,BKR,199,2.28643216080402,0.02083374029227401,-0.0005986835100366986
60,BLL,209,2.444976076555024,0.014883833426712248,0.0024676873317597656
61,BAC,214,2.4065420560747666,0.017156949409186183,0.003434583424022813
62,BK,207,2.342995169082126,0.015254307814943741,0.0014603632885310728
63,BAX,222,2.6036036036036037,0.010834741814519008,-0.00037985261839736784
64,BDX,202,2.698019801980198,0.012058790891304844,0.000779317563716598
65,BRK-B,205,2.4878048780487805,0.009733500151045816,0.0014150512704266675
66,BBY,192,2.6666666666666665,0.021016890111065566,0.004519781626225173
67,BIO,222,2.324324324324324,0.014364402654753064,-0.00023445004539083774
68,BIIB,187,2.550802139037433,0.017704015965635367,0.0018934154189570378
69,BLK,221,2.2217194570135748,0.011465253847418606,-0.0011904265062523654
70,BA,209,2.411483253588517,0.020581010355313564,0.004970313737664163
71,BKNG,196,2.454081632653061,0.01700437157406133,0.003020712647972558
72,BWA,217,2.23963133640553,0.018687736538100668,0.0016132829617481416
73,BXP,198,2.2222222222222223,0.01317508871051059,-0.00017369128426291677
74,BSX,221,2.334841628959276,0.012767529264115153,-0.0005302640226153675
75,BMY,209,2.349282296650718,0.012434182280308763,-0.0007901543175457442
76,AVGO,198,2.6515151515151514,0.019723093523410205,0.003691120169070133
77,BR,211,2.5118483412322274,0.012536775106742348,0.0010661549657888765
